Application_ID,Application_Date,Age,Marital_Status,Education,Employment_Type,Employment_Years,Annual_Income,Credit_Score,Existing_Debt,Loan_Amount,Loan_Term,Home_Ownership,Previous_Default,Loan_Approved
APP10593,2025-07-27,35.0,Married,Bachelor,self-employed,4.0,65300.0,661.0,3400.0,24500.0,60 months,Rent,No,Yes
APP10805,2025-10-19,38.0,Married,High School,Salaried,,10700.0,643.0,1200.0,3000.0,60 months, rent ,No,Yes
APP10154,2025-02-25,43.0,Married,Doctorate,Salaried,2.0,50300.0,768.0,15900.0,25000.0,48 months,Own,No,Yes
APP10268,2025-04-02,52.0,MARRIED,Bachelor,Salaried,22.0,,792.0,26300.0,41000.0,60 months,Mortgage,No,Yes
APP10829,2025-10-27,43.0,Married,MASTER,SELF-EMPLOYED,8.0,26300.0,710.0,11400.0,8500.0,60 months,Rent,Yes,No
APP10361,2025-05-02,21.0,Divorced,High School,Salaried,0.0,39900.0,630.0,18100.0,11000.0,36 months,Rent,No,No
APP10564,2025-07-16,29.0,Single,BACHELOR, salaried ,1.0,75600.0,571.0,34800.0,29500.0,36 months,Rent,No,No
APP10285,2025-04-07,31.0,Married,High School,Salaried,8.0,22100.0,696.0,8300.0,5000.0,12 months,Rent,No,Yes
APP10652,2025-08-21,29.0,Single,Bachelor, self-employed ,7.0,52000.0,686.0,11400.0,29000.0,12 months,Rent,No,No
APP10360,2025-05-02,34.0,Divorced,Bachelor,Contract,9.0,37300.0,687.0,15200.0,13000.0,12 months,Rent,No,Yes
APP10961,2025-12-20,28.0, Single,,Salaried,4.0,28700.0,794.0,2200.0,12000.0,24 months,Rent,No,Yes
APP10880,2025-11-13,40.0,Single,Master,Self-Employed,7.0,55300.0,684.0,11000.0,22000.0,60 months,Mortgage,No,Yes
APP10699,2025-09-07,41.0,Single,Bachelor,Self-Employed,10.0,38900.0,661.0,7400.0,23500.0,12 months,Rent,No,Yes
APP10569,2025-07-18,27.0,Single,Bachelor  ,Self-Employed,,52400.0,717.0,27800.0,65500.0,48 months,Mortgage,No,No
APP10137,2025-02-19,29.0,Divorced,Bachelor,Self-Employed,4.0,22100.0,719.0,4700.0,11000.0,60 months, rent ,No,Yes
APP10532,2025-07-06,33.0, Single,High School, Self-Employed,7.0,43800.0,674.0,19800.0,33000.0,36 months,Rent,No,No
APP10530,2025-07-05,43.0,Married,Master,Salaried,7.0,33800.0,569.0,0.0,3000.0,36 months,Rent,Yes,Yes
APP10111,2025-02-11,33.0,Single,Bachelor,Salaried,3.0,60600.0,679.0,11200.0,46500.0,48 months,Rent,No,No
APP10247,2025-03-29,31.0,Married,Bachelor,Salaried,7.0,30100.0,826.0,16800.0,12000.0,24 months,Own,No,Yes
APP10267,2025-04-01,21.0,Single,High School,Salaried,1.0,67200.0,628.0,14900.0,18000.0,48 months,Rent,No,No
APP10298,2025-04-10,32.0,Single,Master,Salaried,10.0,72700.0,529.0,26500.0,38000.0,60 months,Rent,Yes,No
APP10320,2025-04-17,22.0,Single,Doctorate,Self-Employed,1.0,36800.0,661.0,22600.0,20000.0,60 months,Mortgage  ,No,No
APP10716,2025-09-17,32.0,Single,Master,Salaried,,111500.0,640.0,16500.0,24000.0,60 months,Mortgage,No,Yes
APP10643,2025-08-17,21.0,Single  ,High School,Self-Employed,1.0,21600.0,642.0,11900.0,7000.0,36 months,Rent,No,No
APP10595,2025-07-28,28.0,Single,Bachelor,Salaried,3.0,41400.0,784.0,4800.0,8000.0,48 months,Rent,No,Yes
APP10255,2025-03-31,61.0,Married,High School,Contract,27.0,46700.0,786.0,0.0,8500.0,12 months,OWN,No,Yes
APP10027,2025-01-12,35.0,Divorced,Bachelor, self-employed ,7.0,48800.0,658.0,12200.0,32000.0,60 months,Mortgage,Yes,No
APP10264,2025-04-01,48.0,married,Master,Self-Employed,10.0,65300.0,599.0,0.0,30000.0,12 months,Rent,Yes,No
APP10858,2025-11-05,37.0,Divorced,Bachelor,Salaried,5.0,28600.0,626.0,1000.0,13000.0,48 months,Mortgage,No,Yes
APP10680,2025-08-30,40.0,Divorced,Master,Salaried,9.0,132600.0,648.0,0.0,65000.0,60 months,Mortgage,No,Yes
APP10289,2025-04-08,41.0,Divorced,Master,Salaried,10.0,48500.0,752.0,12800.0,15500.0,24 months,Mortgage,No,No
APP10022,2025-01-11,35.0, Married,High School,Salaried,5.0,38000.0,801.0,3000.0,11500.0,60 months,mortgage,No,Yes
APP10410,2025-05-18,40.0,Married,High School,Salaried,3.0,35600.0,693.0,2300.0,16500.0,36 months,Own,No,Yes
APP10200,2025-03-14,46.0,Married,Master,Salaried,8.0,36700.0,592.0,9800.0,13000.0,60 months,Rent,No,No
